activation1,activation2,mae,mse,execution_time
linear,linear,4435.921069090522,45079324.703419395,11.958733558654785
linear,relu,4568.474979465884,45536653.263464995,12.372182846069336
linear,sigmoid,20668.69686775985,932362988.7239684,12.516324758529663
linear,tanh,20594.179335410452,929288181.0116946,12.804826259613037
linear,softplus,4246.6289238527315,42453799.38164567,12.694714069366455
relu,linear,4025.1557765200255,40350407.40772577,12.616929531097412
relu,relu,4044.9644386728846,39916253.86801156,12.754863977432251
relu,sigmoid,20687.53070717482,933141885.2729716,11.994495391845703
relu,tanh,20593.704069906755,929268605.8315643,12.826977729797363
relu,softplus,3979.151431687708,39116633.24069592,13.222192764282227
sigmoid,linear,3957.818196230599,40037124.60150715,13.155231475830078
sigmoid,relu,5201.253088068859,59894455.95114652,12.939920425415039
sigmoid,sigmoid,20629.844343954606,930758436.1684664,13.180359363555908
sigmoid,tanh,20592.17874031691,929205783.7858301,12.660210371017456
sigmoid,softplus,7158.530644440074,111738410.53420417,13.117289781570435
tanh,linear,3888.613842277711,35858247.674108386,13.20644474029541
tanh,relu,4593.5890222600565,52284672.556306295,13.677446365356445
tanh,sigmoid,20596.877974355317,929399340.8022883,13.790229558944702
tanh,tanh,20592.477507437394,929218088.4059601,13.750808238983154
tanh,softplus,4160.030814916961,42567489.000171974,13.46815037727356
softplus,linear,4078.227958354191,40865703.95065022,13.9026460647583
softplus,relu,3988.555184974411,39379601.24299846,13.722878456115723
softplus,sigmoid,20686.660574728532,933105884.2466984,14.245993375778198
softplus,tanh,20593.945799643083,929278562.1113075,13.822399854660034
softplus,softplus,4077.53867511681,40535632.080465935,13.038158416748047
