activation1,activation2,mae,mse,execution_time
linear,linear,4468.338200506766,45110377.299802765,107.66995573043823
linear,relu,3603.3017962135846,30607554.279180977,109.69688129425049
linear,sigmoid,19646.028545110927,891133259.4792413,110.04686760902405
linear,tanh,19091.43633242154,869561723.7271286,113.42832016944885
linear,softplus,3711.6889755536054,32421140.76256985,113.74388122558594
relu,linear,3430.330977763963,30376169.38283254,112.52054166793823
relu,relu,3346.4411488817914,27319958.659291472,111.55543947219849
relu,sigmoid,19832.06077461867,898478593.0808386,110.46806573867798
relu,tanh,19090.975157374014,869543939.7624182,111.47783470153809
relu,softplus,3336.3312249571245,27647346.931269165,112.87958812713623
sigmoid,linear,3256.9701214507095,27047422.251949407,117.35852360725403
sigmoid,relu,3189.008150503394,25964046.01142678,107.7124412059784
sigmoid,sigmoid,19248.202055791022,875620201.5576887,107.41171026229858
sigmoid,tanh,19090.058849928948,869508606.1391556,108.9352216720581
sigmoid,softplus,3176.9620785103166,25878758.106044736,116.45552039146423
tanh,linear,3777.813745339217,36130984.321796544,128.07211923599243
tanh,relu,3347.8516259672283,28851562.18902111,153.30384421348572
tanh,sigmoid,19116.25647879922,870519417.0223358,150.4394645690918
tanh,tanh,19089.580997167435,869490180.3948985,155.2423722743988
tanh,softplus,3341.252418206079,27706977.54707711,160.46619629859924
softplus,linear,3236.7089434755426,26648924.978763014,156.98381209373474
softplus,relu,3238.867141626105,26796574.200706244,153.38790345191956
softplus,sigmoid,19832.453413778825,898494166.9223776,155.4309480190277
softplus,tanh,19091.71078958426,869572307.6290952,157.32165145874023
softplus,softplus,3514.8962791475296,29356806.980884563,164.21628594398499
