n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
50,,2,1,sqrt,8106003.866084618,1185.8450017381344,2847.1044705252066,0.9842547987447334,0.9842547987447334,0.9972510246067231
50,,2,1,log2,8135587.684910853,1194.9601007916642,2852.295160903032,0.9841973347724712,0.9841973347724712,0.997241970548296
50,,2,2,sqrt,7626646.261010946,1251.8631598141303,2761.638329146477,0.9851859088317526,0.9851859088317526,0.9926002266913403
50,,2,2,log2,7713800.096936328,1272.1241219687033,2777.3728768273677,0.9850166201527087,0.9850166201527087,0.9923839455634217
50,,2,10,sqrt,9783226.644129261,1633.6900753097889,3127.8149951890155,0.9809969406649067,0.9809969406649067,0.9827785674915755
50,,2,10,log2,10028575.239468396,1677.8126797024017,3166.792579167192,0.98052037254637,0.98052037254637,0.9823030718192274
50,,5,1,sqrt,7529244.690857043,1197.377966340022,2743.946918374523,0.9853751028353563,0.9853751028353563,0.9941631328668655
50,,5,1,log2,7586301.167606573,1203.68720279022,2754.324085434859,0.9852642756356438,0.9852642756356438,0.994189695809933
50,,5,2,sqrt,7558719.519158371,1252.1047470387189,2749.312553922957,0.9853178505676254,0.9853178505676254,0.9922081584402006
50,,5,2,log2,7630837.239274067,1261.2383717474527,2762.3970097134966,0.9851777682242104,0.9851777682242104,0.9921031169803376
50,,5,10,sqrt,9783226.644129261,1633.6900753097889,3127.8149951890155,0.9809969406649067,0.9809969406649067,0.9827785674915755
50,,5,10,log2,10028575.239468396,1677.8126797024017,3166.792579167192,0.98052037254637,0.98052037254637,0.9823030718192274
50,,20,1,sqrt,7911033.60053968,1370.0234320617137,2812.65596910459,0.9846335113780499,0.9846335113780499,0.9882701029131697
50,,20,1,log2,7924869.529193022,1380.0957939227546,2815.1144788787938,0.9846066363006628,0.9846066363006628,0.9882113207177381
50,,20,2,sqrt,8082779.672149498,1397.927395653201,2843.022981291129,0.9842999097036648,0.9842999097036648,0.9875873006527747
50,,20,2,log2,8222830.073682083,1423.132918040849,2867.5477456673816,0.9840278740872943,0.9840278740872943,0.9872634075134303
50,,20,10,sqrt,9783226.644129261,1633.6900753097889,3127.8149951890155,0.9809969406649067,0.9809969406649067,0.9827785674915755
50,,20,10,log2,10028575.239468396,1677.8126797024017,3166.792579167192,0.98052037254637,0.98052037254637,0.9823030718192274
50,5,2,1,sqrt,43526751.780631214,4588.262952875446,6597.480714684297,0.9154531038849475,0.9154531038849475,0.9153545962692433
50,5,2,1,log2,71756233.44226108,6320.62815036579,8470.905113520106,0.8606198127297446,0.8606198127297446,0.8603148698696366
50,5,2,2,sqrt,43526747.00485595,4588.262602702476,6597.480352744975,0.9154531131614719,0.9154531131614719,0.9153546015779216
50,5,2,2,log2,71756238.31599018,6320.62819018485,8470.905401194737,0.8606198032629535,0.8606198032629535,0.8603148386495478
50,5,2,10,sqrt,43530017.182903394,4588.225094457916,6597.728183466139,0.9154467611275539,0.9154467611275539,0.9153468356427515
50,5,2,10,log2,71753027.0436796,6320.011173204508,8470.71585190293,0.8606260408776464,0.8606260408776464,0.8603211256325759
50,5,5,1,sqrt,43526751.780631214,4588.262952875446,6597.480714684297,0.9154531038849475,0.9154531038849475,0.9153545962692433
50,5,5,1,log2,71756238.7523876,6320.628196010396,8470.905426953343,0.8606198024152898,0.8606198024152898,0.8603148673937615
50,5,5,2,sqrt,43526747.00485595,4588.262602702476,6597.480352744975,0.9154531131614719,0.9154531131614719,0.9153546015779216
50,5,5,2,log2,71756238.31599018,6320.62819018485,8470.905401194737,0.8606198032629535,0.8606198032629535,0.8603148386495478
50,5,5,10,sqrt,43530017.182903394,4588.225094457916,6597.728183466139,0.9154467611275539,0.9154467611275539,0.9153468356427515
50,5,5,10,log2,71753027.0436796,6320.011173204508,8470.71585190293,0.8606260408776464,0.8606260408776464,0.8603211256325759
50,5,20,1,sqrt,43528614.28591836,4588.182220859595,6597.621865939148,0.9154494861318512,0.9154494861318512,0.9153509529880334
50,5,20,1,log2,71749976.81373759,6319.911635840124,8470.535804406802,0.8606319656816688,0.8606319656816688,0.8603263723300345
50,5,20,2,sqrt,43528609.5101431,4588.181870686626,6597.6215040075695,0.9154494954083756,0.9154494954083756,0.9153509582967116
50,5,20,2,log2,71749976.3703012,6319.911630014577,8470.535778231575,0.8606319665430051,0.8606319665430051,0.8603263435376556
50,5,20,10,sqrt,43530017.182903394,4588.225094457916,6597.728183466139,0.9154467611275539,0.9154467611275539,0.9153468356427515
50,5,20,10,log2,71753027.0436796,6320.011173204508,8470.71585190293,0.8606260408776464,0.8606260408776464,0.8603211256325759
50,10,2,1,sqrt,22692563.68493758,2857.203898851229,4763.671240224034,0.9559216861822348,0.9559216861822348,0.9562310484301088
50,10,2,1,log2,24605153.94202411,3059.4994365387824,4960.3582473470715,0.9522066474264941,0.9522066474264941,0.9523268459128769
50,10,2,2,sqrt,22949937.19734863,2877.4073451518243,4790.609272039271,0.9554217607174023,0.9554217607174023,0.9556381480901351
50,10,2,2,log2,24089474.33135416,3005.103235731216,4908.102925912838,0.9532083098223396,0.9532083098223396,0.9533132640665086
50,10,2,10,sqrt,24033682.435204133,3020.6027366764215,4902.415979413021,0.9533166806851973,0.9533166806851973,0.9533942196070414
50,10,2,10,log2,23726098.925601445,2954.3869742001984,4870.944356652152,0.9539141346639399,0.9539141346639399,0.9539127428592681
50,10,5,1,sqrt,22371328.8560881,2846.401111604522,4729.83391421814,0.9565456566507907,0.9565456566507907,0.9567732075166444
50,10,5,1,log2,24244568.50326795,3029.2131513293293,4923.8773850765165,0.9529070530020068,0.9529070530020068,0.953141930223049
50,10,5,2,sqrt,22836042.57912627,2875.39267079784,4778.707207930433,0.9556429910197102,0.9556429910197102,0.9558993037667702
50,10,5,2,log2,23858906.487163074,2985.9611383888077,4884.557962309698,0.9536561676286961,0.9536561676286961,0.9538333637019977
50,10,5,10,sqrt,24033682.435204133,3020.6027366764215,4902.415979413021,0.9533166806851973,0.9533166806851973,0.9533942196070414
50,10,5,10,log2,23726098.925601445,2954.3869742001984,4870.944356652152,0.9539141346639399,0.9539141346639399,0.9539127428592681
50,10,20,1,sqrt,23737581.052543674,3037.729926445623,4872.12284867117,0.9538918316398444,0.9538918316398444,0.9540156229969716
50,10,20,1,log2,23645173.224763103,2936.143716186551,4862.630278436055,0.9540713257370598,0.9540713257370598,0.9542224714876999
50,10,20,2,sqrt,23688887.53592839,3021.452895997852,4867.123127261975,0.9539864145232972,0.9539864145232972,0.9541064624502389
