days_left,price,predit_1,prdict_2,final_predictions
5,5177,6729.3795420634915,7833.944364574318,6050.096612914862
24,67004,66406.47597647908,66355.74425656565,67196.58239617605
14,7425,7265.366365873017,7519.063542063491,7389.954138028641
49,56588,49115.302854256835,50429.40979487178,51940.089282029076
24,2203,2221.953666666667,2267.476533333333,2275.986933333333
33,6481,6731.412951587305,6655.536152597402,6525.543678354977
2,7958,12671.855288961036,12456.237149206352,13465.77106031746
5,11675,11675.995975324684,11790.533293145734,11626.591977489172
37,60978,62172.45391919194,62280.933242268875,61276.14619963923
38,71058,68210.2489982684,67750.86139632034,66062.39587597402
45,45776,50072.71396428572,49868.95887301587,50437.983728571424
49,5823,5808.410338095237,5851.499384415585,5828.128178138526
7,6473,8217.50685064935,8071.998312481962,7257.498166017314
12,60978,61392.835373809525,61274.89444761906,61060.61859126986
16,5095,6172.551526190479,6342.947084920634,5988.611637751137
26,6450,6559.688736263735,6609.618778571429,6626.905415079367
39,5322,5834.219812554112,5770.705714285714,5687.931852380951
18,7212,7073.223196825396,7026.766126984127,7179.1171523809535
30,4755,5166.800778571429,5265.973096031747,4987.828412698412
37,7991,7302.005866666668,7469.0265504551,7371.586091053391
31,5790,5925.948194444444,6000.679605844157,6073.514751010103
6,13400,8151.924284415578,7935.462278715723,9105.144658513704
2,5953,8161.983951587296,9049.18036248196,9151.30704062049
28,6133,5926.228489987793,5733.3299209235265,6055.152061038962
16,2836,3440.196626479076,3520.294744444442,3697.074191486292
24,4500,4499.419447619048,4499.841233333334,4502.969984559884
13,11323,11942.120399278492,12079.07500555556,12373.620686075039
42,45995,49368.106106349216,48859.69018614719,47365.07928189033
38,2250,2256.3878,2279.1744523809525,2287.9386785714287
39,58125,59098.581244444445,58825.164714285725,60590.26210101016
16,45883,45961.39719999999,45822.821631746025,45654.95887102343
5,10901,12424.24165634921,11593.224647474744,11580.900837590185
20,22140,22194.263047619046,22201.04617777778,22137.905180952377
3,22671,15586.892638672427,14974.981976479083,17302.533383477643
43,65832,65138.186466666666,65217.13075555556,65478.54995454546
36,4781,4900.784609523809,4978.559785980687,4888.771764568763
39,60713,59350.61236984129,59575.97265714288,60669.16341666664
47,3856,3849.3106809912315,4050.1335867243874,3601.1214631313137
38,3819,4094.7797590909095,4474.340256060607,4172.630609523809
17,54608,54597.4526404762,54615.41236536796,54615.67265238094
5,4452,8303.705762698411,7863.774204256857,7312.486069408369
31,8614,7413.678490126544,7306.264104906206,7758.3759761904785
24,34460,33920.314666666665,34097.630771717166,34615.57617564102
30,6032,5922.4829257575775,5924.852005061604,5966.276339754689
2,21948,18867.171631024532,20556.43641904762,20277.00121637807
33,4020,4045.9613912698414,4106.518577489176,4022.2144325396825
35,5800,5492.551284032635,5501.028486630036,5557.655546536796
23,51345,53633.294867532444,53405.84506753245,53260.28541580087
6,45805,52771.30639871796,53991.58865223663,53297.26156219335
2,10779,12524.691783621929,12730.202627849934,12419.173280014425
38,4768,5379.541039105337,5990.6460111111055,6042.696862914861
11,5954,6535.623348556997,6323.015554761906,6064.814623809526
42,53164,53215.257150000005,53254.40419047618,53235.85671291487
13,28510,28529.512850793653,28459.60693968254,28135.68712222222
37,4272,3718.8827833333326,3761.0133264069273,3811.578888528138
4,7927,10396.06395311355,10501.370791064488,10752.66190714287
22,4363,4841.7418364357845,4937.903239105337,4700.914128427127
46,4294,4259.669292063493,4314.704704761904,4247.550418109667
31,6109,6143.254842857142,6152.905702380951,6106.496436507937
29,4688,4527.0063997835505,4507.368592496394,4597.376460101012
5,81788,73437.21126535133,77460.92521428574,72853.23534090912
17,4612,5079.43783095238,5073.61755937951,4861.733957503606
17,14291,11919.780807142855,11784.02142669552,12120.09271910867
19,9899,7844.377388239534,7868.612402308801,7241.319619985571
9,12212,11837.219195382386,11609.910265440123,11529.10527698412
5,90160,66953.7246487735,69029.3973821789,65441.46168686867
40,3496,3708.741308225107,3751.4251006493505,3632.6780718614714
39,4416,4370.602773809525,4407.577942929293,4573.467141341994
45,56588,55034.44201948051,55744.441253968245,57858.36452301588
49,1694,1786.866471428571,1782.4582393939397,1852.0252694805197
25,4896,4899.479719047618,4881.980142857141,4893.475042424242
30,79349,79403.82656767675,80458.90066868681,79135.67529199134
36,8803,7085.9372674603155,6963.566221428574,7631.555480447334
23,7021,7732.090281746032,7691.433403896104,7118.282830952379
33,3961,4523.857111399714,4548.963423520931,4410.715778493731
39,4969,5224.375697374847,5272.9917460317465,5278.527330230879
27,58750,52665.50439682541,52936.72122511379,52455.742108080805
38,9971,9881.85172063492,9668.79434076479,9351.55116089466
6,9719,10785.897654112558,11130.797849206352,10301.790257936502
46,20684,20873.451699999998,20463.02812857143,20664.21896031746
24,8979,5663.080515079366,5308.552675396824,5274.482508941053
23,7563,7543.5723119047625,7578.465434920633,7256.487784920639
40,4368,4647.6350515873,4744.814960317457,4540.198056415805
2,50810,52327.10981984128,52845.295571428556,51871.60194639251
22,4056,4123.922626406927,4037.595915079364,3984.6022952380963
20,7504,7749.239773015872,7548.315510317455,7834.7274622655095
12,7326,7192.685388095235,6711.72252705628,7332.102317388162
41,36763,46397.423172838266,45474.31138730156,41022.76930634923
2,11949,9790.349103180148,9765.18221208791,12069.486217099566
10,28510,28497.697627777783,28279.041937301587,28648.43625238096
9,8300,6388.845566883113,6871.655093650791,6342.118132323231
41,5282,3715.791502308805,3849.249621428573,3695.99023059163
41,4637,4809.9195222222215,4801.197783333331,4653.997652380952
28,6618,7468.913298484853,7316.930364646467,6955.92377538017
40,5606,5591.106828571429,5587.020962698412,5550.202413492062
26,4028,4186.07504920635,4229.990162193362,4092.2357767676767
7,11409,11293.78424538239,11276.117054761911,10542.247366738826
49,4755,4866.056044444444,4946.303499206348,4739.957109523812
8,9177,9550.318205033862,9591.70931648907,9127.877266666663
6,11488,11304.370478216231,11500.41351298701,11419.67400396826
4,17535,18641.32936914196,18727.693566017326,18267.520231562892
