duration,days_left,price,predict_1,predict_2,final_predictions
17.17,47,38554,38725.84,39402.73,38361.6
26.42,46,6312,5473.89,5797.43,5219.71
20.92,10,15606,14952.98,14700.37,15671.72
13.08,14,15537,11255.25,11002.1,11590.58
13.0,21,5960,5997.77,5987.04,5968.14
13.25,29,44280,44280.0,44280.0,44280.0
21.0,42,6578,6589.67,6598.72,6596.12
5.58,14,12118,10654.0,10278.4,8444.83
7.83,47,6067,6067.0,6067.0,6067.0
7.25,24,5178,4846.29,4964.25,4758.87
4.0,22,6584,4539.44,4633.17,4694.73
2.08,42,2276,2415.71,2340.84,2472.98
8.08,39,8112,10854.9,8880.5,10327.4
14.17,11,9201,9261.38,9249.32,9224.1
8.08,22,49553,49553.0,49553.0,49553.0
22.92,12,11069,11321.31,11158.16,11346.94
10.25,18,4111,4153.83,4190.95,4162.54
13.17,44,55983,56029.48,56097.58,55935.37
6.92,11,7484,8539.07,7885.93,7772.66
18.92,44,62045,62061.8,62145.8,65605.41
12.33,31,62448,62448.0,62448.0,62448.0
5.92,47,4363,4399.03,4408.22,4363.29
11.58,41,44405,44386.41,44405.0,44384.14
23.0,31,5960,6047.5,6004.26,5988.26
19.92,27,38099,38099.0,38099.0,38099.0
2.0,49,3000,3263.1,3235.14,3139.49
12.58,19,66063,66778.68,66778.68,67687.49
16.0,16,54684,54684.0,54684.0,55109.38
16.92,12,10954,11424.36,10950.21,11345.89
9.17,14,8043,8377.39,8355.0,8449.61
14.58,27,5102,5132.51,5145.45,5072.63
12.83,25,4896,4896.0,4896.0,4910.7
8.17,4,7412,10286.54,10342.63,10268.38
1.75,28,2124,2132.42,2132.42,2126.36
13.5,21,60260,60260.0,60260.0,60260.0
13.42,49,6314,6280.51,6289.54,6377.56
2.33,49,2456,2372.56,2378.94,2464.68
11.0,36,37888,37888.0,37888.0,38016.94
24.42,46,6015,6031.49,6031.235,6023.38
4.92,46,3860,3955.52,3983.3,3726.46
8.0,33,7900,7176.7,7356.58,6852.83
22.42,8,12166,12509.15,12727.21,12499.49
5.67,32,53209,53209.0,53209.0,53209.0
12.83,42,37985,37985.0,37985.0,37985.0
15.5,46,61873,61895.4,62111.56,61868.99
1.33,14,4453,4510.34,4502.57,4451.88
13.33,8,51707,55181.86,55118.65,58606.3
9.75,26,67601,68185.64,66485.04,66904.43
26.17,35,61844,48213.0,48213.0,48213.0
22.75,27,74480,69392.64,69863.65,71129.86
10.25,41,57992,61888.48,61808.96,61187.64
11.25,49,49207,49207.0,49207.0,49207.0
9.33,15,64113,64622.6,65641.8,63176.41
13.0,48,3644,3743.69,3742.88,3807.79
13.17,31,6578,6578.0,6578.0,6578.0
11.5,29,42521,42521.0,42521.0,42521.0
2.67,33,4499,4499.01,4515.74,4642.07
13.0,9,14014,13498.26,13807.94,13839.526666666667
2.17,48,2022,2032.02,2022.0,2055.69
23.83,47,4009,4055.31,4009.0,4021.88
9.58,6,10744,10843.25,10838.36,10801.17
