n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
50,,2,1,sqrt,6383394.181033956,995.2225844055004,2526.537983295315,0.9876008169089827,0.9876008169089827,0.9981198700490448
50,,2,1,log2,6383394.181033956,995.2225844055004,2526.537983295315,0.9876008169089827,0.9876008169089827,0.9981198700490448
50,,2,2,sqrt,6088111.113100919,1044.2165600288427,2467.4097983717497,0.9881743783590742,0.9881743783590742,0.9945171671503268
50,,2,2,log2,6088111.113100919,1044.2165600288427,2467.4097983717497,0.9881743783590742,0.9881743783590742,0.9945171671503268
50,,2,10,sqrt,7153966.652911216,1303.8742551708037,2674.6900106201497,0.9861040474956052,0.9861040474956052,0.9878123826487809
50,,2,10,log2,7153966.652911216,1303.8742551708037,2674.6900106201497,0.9861040474956052,0.9861040474956052,0.9878123826487809
50,,5,1,sqrt,6053621.129700568,1014.8622035727565,2460.4107644254377,0.9882413721255343,0.9882413721255343,0.9955642345962048
50,,5,1,log2,6053621.129700568,1014.8622035727565,2460.4107644254377,0.9882413721255343,0.9882413721255343,0.9955642345962048
50,,5,2,sqrt,6082492.707783377,1044.976349090229,2466.2710126389957,0.9881852916184212,0.9881852916184212,0.9941613641677202
50,,5,2,log2,6082492.707783377,1044.976349090229,2466.2710126389957,0.9881852916184212,0.9881852916184212,0.9941613641677202
50,,5,10,sqrt,7153966.652911216,1303.8742551708037,2674.6900106201497,0.9861040474956052,0.9861040474956052,0.9878123826487809
50,,5,10,log2,7153966.652911216,1303.8742551708037,2674.6900106201497,0.9861040474956052,0.9861040474956052,0.9878123826487809
50,,20,1,sqrt,6236540.797005952,1140.0236454027388,2497.3067086375177,0.9878860667219285,0.9878860667219285,0.9907043691092751
50,,20,1,log2,6236540.797005952,1140.0236454027388,2497.3067086375177,0.9878860667219285,0.9878860667219285,0.9907043691092751
50,,20,2,sqrt,6325145.166911399,1152.727960957193,2514.984128560536,0.9877139605079043,0.9877139605079043,0.990404564364995
50,,20,2,log2,6325145.166911399,1152.727960957193,2514.984128560536,0.9877139605079043,0.9877139605079043,0.990404564364995
50,,20,10,sqrt,7153966.652911216,1303.8742551708037,2674.6900106201497,0.9861040474956052,0.9861040474956052,0.9878123826487809
50,,20,10,log2,7153966.652911216,1303.8742551708037,2674.6900106201497,0.9861040474956052,0.9861040474956052,0.9878123826487809
50,5,2,1,sqrt,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,2,1,log2,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,2,2,sqrt,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,2,2,log2,39663303.0973595,4286.119741537408,6297.8808417879345,0.9229575139570945,0.9229575139570945,0.9226747640854558
50,5,2,10,sqrt,39663564.08183061,4286.052654006277,6297.901561776796,0.9229570070176593,0.9229570070176593,0.9226733688191832
50,5,2,10,log2,39663564.08183061,4286.052654006277,6297.901561776796,0.9229570070176593,0.9229570070176593,0.9226733688191832
