model name ,encoding,mae,mse,rmse,r2,explained_variance_score,max_error,mean_absolute_percentage_error,mean_squared_log_error,mean_squared_log_error(squared=False),test_score,train_score
random forest,data_to_one_hot,810.8677442944148,4516476.468793925,2125.200336155141,0.9910573685004717,0.991058653986736,32685.6,0.055818132839660445,0.013984795751353224,0.1182573285312721,0.9910573685004717,0.9986706215400769
random forest,data_label_encoding,830.8157823588051,4755085.832494586,2180.615929615893,0.9905849215328731,0.9905871183042121,32272.699999999997,0.05666859158153119,0.014259333798115462,0.11941245244159196,0.9905849215328731,0.9986219179793221
linear regression,data_to_one_hot,4438.980054213513,43782733.70731249,6616.852250678754,0.9133101088222809,0.9133102565064538,39022.873146038364,0.42531906946649684,N/A,N/A,0.9133101088222809,0.9139468182812432
linear regression,data_label_encoding,4464.95216513662,45480173.439704545,6743.898979055406,0.909949175111163,0.9099502240265372,40402.968317830615,0.41788242774770545,N/A,N/A,0.909949175111163,0.9104072258498581
gradiant boosting,data_to_one_hot,2713.2431552820717,20046065.1645144,4477.2832347880785,0.9603087550615192,0.9603090055834841,46688.59107217233,0.20213856732126897,0.06688838398451823,0.25862788709750195,0.9603087550615192,0.9607935670819909
gradiant boosting,data_label_encoding,2734.9102339596593,20307134.345941722,4506.343789142338,0.9597918376145849,0.959791987149117,47179.01878410762,0.2022824057835186,0.06654804565237359,0.25796907886871556,0.9597918376145849,0.9603513963990268
lasso,data_to_one_hot,4438.857353324737,43782612.64733964,6616.843102820229,0.913310348521244,0.913310496291529,39022.05362067639,0.4252787298063633,N/A,N/A,N/A,N/A
lasso,data_label_encoding,4464.895997048085,45480167.91027889,6743.898569097765,0.9099491860594358,0.9099502350730228,40401.81652810401,0.4178601300440472,N/A,N/A,N/A,N/A
DecisionTreeRegressor,data_to_one_hot,825.5335056721212,7130638.620683164,2670.3255645488557,0.9858813227564313,0.9858818498038917,31920.0,0.05832537135151465,0.02285746008820244,0.15118683834316546,0.9858813227564313,0.9999127128375175
DecisionTreeRegressor,data_label_encoding,848.5364365469777,7563126.590001933,2750.113923095175,0.9850249958023732,0.9850275235981402,31428.0,0.0595197646743275,0.02343050605735073,0.15307026509858382,0.9850249958023732,0.9999127128375175
