actual_price,model_1_pre,model_2_pre,weightage_pre
38554,38554.0,39420.93,38658.031599999995
6312,5253.57,5720.44,5309.5944
15606,14951.24,15000.94,14957.204000000002
15537,10947.51,11547.52,11019.5112
5960,5985.2,5999.44,5986.908799999999
44280,44280.0,44280.0,44280.0
6578,6585.29,6587.72,6585.5815999999995
12118,7444.12,7674.76,7471.7968
6067,6067.0,6067.0,6067.0
5178,5011.01,5444.89,5063.0756
6584,5338.71,5503.61,5358.498
2276,2331.36,2326.06,2330.724
8112,9896.9,8786.8,9763.687999999998
9201,9340.04,9631.44,9375.008000000002
49553,49553.0,49553.0,49553.0
11069,11170.21,11146.17,11167.3252
4111,4111.0,4205.05,4122.286
55983,56029.48,55983.0,56023.9024
7484,8253.78,7755.03,8193.93
62045,62801.0,62078.6,62714.312
62448,62448.0,62448.0,62448.0
4363,4389.92,4444.59,4396.4804
44405,44405.0,44405.0,44405.0
5960,6023.71,6024.95,6023.8588
38099,38099.0,38099.0,38099.0
3000,3314.03,3297.65,3312.0644
66063,66063.0,66063.0,66063.0
54684,54684.0,54684.0,54684.0
10954,11417.27,11024.19,11370.100400000001
8043,8524.1,8778.86,8554.6712
5102,5202.41,5211.07,5203.4492
4896,4896.0,4896.0,4896.0
7412,9596.55,8145.77,9422.4564
2124,2126.12,2124.0,2125.8656
60260,60260.0,60260.0,60260.0
6314,6301.01,6309.48,6302.026400000001
2456,2426.32,2431.04,2426.8864000000003
37888,37888.0,37888.0,37888.0
6015,6026.737285714285,6026.555952380951,6026.715525714284
3860,3913.67,3987.82,3922.568
7900,7010.24,7182.83,7030.9508
12166,12433.31,12439.13,12434.008399999999
53209,53209.0,53209.0,53209.0
37985,37985.0,37985.0,37985.0
61873,61693.8,61671.4,61691.112
4453,4487.09,4488.47,4487.2556
51707,64119.2,62242.8,63894.032
67601,67925.8,67104.77,67827.2764
61844,48213.0,48213.0,48213.0
74480,73142.41,72718.82,73091.57920000001
57992,59980.0,60298.08,60018.1696
49207,49207.0,49207.0,49207.0
64113,64582.94,64386.28,64559.340800000005
3644,3877.74,3895.5,3879.8712
6578,6578.0,6578.0,6578.0
42521,42521.0,42521.0,42521.0
4499,4583.03,4609.58,4586.215999999999
14014,13818.29,14455.17,13894.715600000001
2022,2022.0,2154.65,2037.918
4009,4009.0,4009.77,4009.0924
10744,10789.24,10852.61,10796.8444
7487,6944.55,6983.8,6949.26
60508,62297.48,63347.48,62423.48
60978,61077.69,61201.11,61092.500400000004
4578,5349.46,4687.85,5270.0668000000005
3918,2984.27,3196.29,3009.7124
5177,5159.43,5231.04,5168.0232000000005
11383,11366.5125,11312.3425,11360.0121
45805,47713.48,45805.0,47484.462400000004
45257,45257.0,45257.0,45257.0
51457,51457.0,51457.0,51457.0
7423,6189.53,5284.76,6080.9576
57920,57920.0,57920.0,57920.0
7240,7240.0,7240.0,7240.0
1998,1998.0,1998.0,1998.0
60260,60260.0,60260.0,60260.0
6412,7889.22,7787.92,7877.064
3374,3366.4,3374.0,3367.3120000000004
5625,4977.06,5581.05,5049.5388
4363,4416.92,4522.68,4429.6112
8112,8112.0,8112.0,8112.0
11129,11151.41,11130.78,11148.9344
2124,2124.0,2124.0,2124.0
4665,4818.9,4850.37,4822.676399999999
2449,3023.42,2634.8,2976.7856
5567,6292.76,6229.8,6285.2048
56588,56766.92,56766.92,56766.92
47545,47545.0,47545.0,47545.0
8014,3793.27,3948.7,3811.9216
31982,32144.96,32047.2,32133.2288
56702,54176.96,56501.54,54455.9096
9627,8888.87,6369.26,8586.516800000001
59929,59929.0,60327.24,59976.788799999995
3153,2993.93,2995.72,2994.1447999999996
60396,60396.0,60396.0,60396.0
5761,5761.0,5761.0,5761.0
60978,60978.0,60978.0,60978.0
54777,54968.52,55625.41,55047.3468
6287,6287.0,6287.0,6287.0
55377,55377.0,55377.0,55377.0
5892,5894.36,5826.72,5886.2432
5206,5206.0,5206.0,5206.0
73377,71775.7,69376.38,71487.78159999999
5120,5133.96,5305.56,5154.552
5918,6390.5,6390.5,6390.5
17670,17493.05,17382.5,17479.784
6200,6200.0,6200.0,6200.0
5656,5656.0,5668.49,5657.498799999999
51117,51117.0,51101.96,51115.1952
54684,54684.0,54684.0,54684.0
24234,24496.96,24759.92,24528.515199999998
7845,8550.09,8684.29,8566.194
58032,52332.44,51561.95,52239.9812
59021,68131.08,69192.84,68258.4912
16383,15284.71,16989.4,15489.272799999999
3569,3193.53,3090.0,3181.1064000000006
44144,44144.0,44144.0,44144.0
6583,6728.7,6633.21,6717.2412
3999,4052.35,4066.66,4054.0671999999995
15268,14655.68,14799.36,14672.9216
6690,6265.11,5744.37,6202.6212
58315,58549.87,59306.25,58640.6356
53209,57244.36,53558.0,56801.9968
45883,45883.0,45883.0,45883.0
57666,56097.14,56433.41,56137.4924
51372,51372.0,51372.0,51372.0
6489,6265.1,6269.03,6265.5716
9779,9789.33,9788.45,9789.2244
42521,46348.04,46462.28,46361.7488
44144,44144.0,44144.0,44144.0
5060,4975.81,4992.61,4977.826
5823,5823.0,5823.69,5823.0828
5339,5348.37,5339.0,5347.2456
9904,10314.42,10416.59,10326.6804
57920,58434.08,58558.4,58448.998400000004
8579,8579.0,8528.76,8572.9712
11141,11649.07,11528.03,11634.5452
5589,5909.75,5959.96,5915.7752
57505,55517.0,55517.0,55517.0
65529,70106.44,70065.76,70101.55840000001
5960,6045.05,6096.5,6051.224
37985,37985.0,37985.0,37985.0
3000,3000.0,3000.0,3000.0
6195,6313.35,6332.96,6315.703200000001
3090,3094.79,3111.3,3096.7712
7412,9255.03,9223.83,9251.286
3826,3839.51,3826.0,3837.8888
58125,58125.0,58169.8,58130.376000000004
67769,67769.0,67769.0,67769.0
6922,6220.3,6212.93,6219.4156
6339,6298.14,6230.02,6289.9656
6734,6605.12,6654.96,6611.100799999999
12054,12126.6825,12431.771666666667,12163.2932
6342,6204.7,6147.61,6197.8492
2399,2815.29,2660.09,2796.6659999999997
6488,8185.76,8872.1,8268.1208
7424,7326.52,7478.3,7344.7336000000005
13734,12968.1,12706.7,12936.732
14364,14385.96,14384.87,14385.8292
39555,39593.75,39555.0,39589.1
4007,4014.39,3982.54,4010.5679999999998
4896,4894.89,4864.8,4891.2792
4909,5109.43,5068.32,5104.496800000001
4204,4389.39,4521.11,4405.196400000001
8988,9057.36,9123.04,9065.241600000001
7425,7533.63,7917.89,7579.7412
6252,6100.64,5747.41,6058.2524
5625,5610.48,5632.35,5613.1044
14355,13684.1,13859.63,13705.1636
11520,11521.34,11521.05,11521.3052
43376,43376.0,43376.0,43376.0
4827,4827.0,4827.0,4827.0
4139,4730.76,4473.83,4699.9284
6314,6305.54,6314.0,6306.555200000001
13961,13855.18183333333,13504.393499999998,13813.08723333333
3611,3325.06,3386.9,3332.4808
8092,6897.5325,7453.432500000001,6964.2405
4190,4363.9,4507.23,4381.0996
10744,10792.3,10748.2,10787.008
64285,69974.6,69761.8,69949.06400000001
